Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Quality and Equality in American Education: Systemic Problems, Systemic Solutions",The Dynamics of Opportunity in America,,,,10.1007/978-3-319-25991-8_9,Jennifer A. O’DayMarshall S. Smith,2016,https://link.springer.com/chapter/10.1007/978-3-319-25991-8_9,Chapter
Multifunctional Roles of the First Person Singular in Academic Texts,Meaning Making in Text,,,,10.1057/9781137477309_3,Toini Rahtu,2015,https://link.springer.com/chapter/10.1057/9781137477309_3,Chapter
On Design,MMOs from the Inside Out,,,,10.1007/978-1-4842-1724-5_2,Richard A. Bartle,2016,https://link.springer.com/chapter/10.1007/978-1-4842-1724-5_2,Chapter
Supply chain design in e-mobility supply chain networks,Entscheidungen beim Übergang in die Elektromobilität,,,,10.1007/978-3-658-09577-2_26,I. HausladenA. LichtenbergA. Haas,2015,https://link.springer.com/chapter/10.1007/978-3-658-09577-2_26,Chapter
Epilogue: The Need to Know,Espionage and Counterintelligence in Occupied Persia (Iran),,,,10.1057/9781137555571_16,Adrian O’Sullivan,2015,https://link.springer.com/chapter/10.1057/9781137555571_16,Chapter
Abstinence in Medieval Northern France: A Comparison of “A Slave for Seven Years” in Sefer ha-ma‘asim to “The Life of St. Alexis,Jews and Christians in Thirteenth-Century France,,,,10.1057/9781137317582_17,Rella Kushelevsky,2015,https://link.springer.com/chapter/10.1057/9781137317582_17,Chapter
Chile,Women Screenwriters,,,,10.1057/9781137312372_51,Carmen Sofia Brenes,2015,https://link.springer.com/chapter/10.1057/9781137312372_51,Chapter
"Creating Joomla Menus, Articles, and Categories with PHP",Advanced Joomla!,,,,10.1007/978-1-4302-1629-2_11,Dan Rahmel,2013,https://link.springer.com/chapter/10.1007/978-1-4302-1629-2_11,Chapter
"‘Je Hé Guerre, Point Ne La Doy Prisier’: Peace and the Emotions of War in the Prison Poetry of Charles d’Orléans",Emotions and War,,,,10.1057/9781137374073_4,Stephanie Downes,2015,https://link.springer.com/chapter/10.1057/9781137374073_4,Chapter
The Patriotic War of 1812 in the Commemorative Practices and Historical Memory of Russian Society from the Nineteenth to the Early Twenty-First Centuries,Russia and the Napoleonic Wars,,,,10.1057/9781137528001_18,Tatiana Saburova,2015,https://link.springer.com/chapter/10.1057/9781137528001_18,Chapter
The Color Red,"Mapping Time, Space and the Body",,,,10.1007/978-94-6209-866-4_7,Mariana Kawall Leal Ferreira,2015,https://link.springer.com/chapter/10.1007/978-94-6209-866-4_7,Chapter
Rule-of-Law and Judicial Federalism: The Role of Ordinary Courts in the Enforcement of Fundamental Rights,Rule of Law and Fundamental Rights,,,,10.1007/978-3-319-24562-1_2,Alfredo Narváez Medécigo,2016,https://link.springer.com/chapter/10.1007/978-3-319-24562-1_2,Chapter
"‘Good God, Did We Really Send Players to Fight in That?’ — Landscape and Chronology in First World War Games",The First World War in Computer Games,,,,10.1057/9781137491763_3,Chris Kempshall,2015,https://link.springer.com/chapter/10.1057/9781137491763_3,Chapter
"More Bitter Than Sweet: Reflecting on the Japanese Community in British North Borneo, 1885–1946",Japan as the Occupier and the Occupied,,,,10.1057/9781137408112_5,Shigeru Sato,2015,https://link.springer.com/chapter/10.1057/9781137408112_5,Chapter
"Domestic, regional and international developments shaping Iranian energy politics (1990-1999)",Energy Sector Diversification in Iran,,,,10.1007/978-3-658-11284-4_3,Shabnam Mirsaeedi-Farahani,2015,https://link.springer.com/chapter/10.1007/978-3-658-11284-4_3,Chapter
The Other Side of Internationalism,Colonial Switzerland,,,,10.1057/9781137442741_11,Harald Fischer-Tiné,2015,https://link.springer.com/chapter/10.1057/9781137442741_11,Chapter
‘A Sweet Tribute to Her Memory’: War-time Edith Cavell Plays and Films,"British Theatre and the Great War, 1914–1919",,,,10.1057/9781137402004_7,Veronica Kelly,2015,https://link.springer.com/chapter/10.1057/9781137402004_7,Chapter
The Secret Ingredient: Your Tribe,Success in Programming,,,,10.1007/978-1-4842-0001-8_7,Frédéric Harper,2015,https://link.springer.com/chapter/10.1007/978-1-4842-0001-8_7,Chapter
Documenting,Beginning Oracle PL/SQL,,,,10.1007/978-1-4842-0737-6_9,Donald J. Bales,2015,https://link.springer.com/chapter/10.1007/978-1-4842-0737-6_9,Chapter
Disturbance and Complexity in Urban Places: The Everyday Aesthetics of Leisure,Landscapes of Leisure,,,,10.1057/9781137428530_3,Sam Elkington,2015,https://link.springer.com/chapter/10.1057/9781137428530_3,Chapter
The Voice(s) of British Sikhs,Religion in Diaspora,,,,10.1057/9781137400307_8,Jasjit Singh,2015,https://link.springer.com/chapter/10.1057/9781137400307_8,Chapter
Genuine and Fraudulent Stigmatics in the Sixteenth Century,Dissimulation and Deceit in Early Modern Europe,,,,10.1057/9781137447494_10,Tamar Herzig,2015,https://link.springer.com/chapter/10.1057/9781137447494_10,Chapter
Introduction,Hayek: A Collaborative Biography,,,,10.1057/9781137479259_1,Robert Leeson,2015,https://link.springer.com/chapter/10.1057/9781137479259_1,Chapter
The Back End: Programming Languages,How to Speak Tech,,,,10.1007/978-1-4302-6611-2_3,Vinay Trivedi,2014,https://link.springer.com/chapter/10.1007/978-1-4302-6611-2_3,Chapter
On Fun,MMOs from the Inside Out,,,,10.1007/978-1-4842-1724-5_3,Richard A. Bartle,2016,https://link.springer.com/chapter/10.1007/978-1-4842-1724-5_3,Chapter
Dalai-Lamaism: An Orientalist Construction of Postsocialist Consciousness,Rethinking Ethnography in Central Europe,,,,10.1057/9781137524492_12,Martin Hříbek,2015,https://link.springer.com/chapter/10.1057/9781137524492_12,Chapter
Against Neoliberalism; for Sustainable-Democratic Curriculum; Through Design and Technology Education,"Environment, Ethics and Cultures",,,,10.1007/978-94-6209-938-8_10,Steve Keirl,2015,https://link.springer.com/chapter/10.1007/978-94-6209-938-8_10,Chapter
Neuroimaging and Personalized Learning: Value Reflection with Societal Stakeholders,Responsible Innovation 2,,,,10.1007/978-3-319-17308-5_8,Rosanne EdelenboschFrank KupperJacqueline Broerse,2015,https://link.springer.com/chapter/10.1007/978-3-319-17308-5_8,Chapter
Our Thoughts and Their Objects,Knowledge and virtue in early Stoicism,,,,10.1007/978-94-007-2153-1_3,Håvard Løkke,2015,https://link.springer.com/chapter/10.1007/978-94-007-2153-1_3,Chapter
English Is Not Enough — Local and Global Languages in International Student Mobility: A Case Study of the Austrian University Context,Transcultural Interaction and Linguistic Diversity in Higher Education,,,,10.1057/9781137397478_4,Hermine Penz,2015,https://link.springer.com/chapter/10.1057/9781137397478_4,Chapter
Science Policy of Systems Biology,Contextualizing Systems Biology,,,,10.1007/978-3-319-17106-7_5,Anne BrüninghausImme PetersenRegine KollekMartin Döring,2015,https://link.springer.com/chapter/10.1007/978-3-319-17106-7_5,Chapter
"Representing Genocide at Home: Ishi, Again",Theatre and Human Rights after 1945,,,,10.1057/9781137362308_8,Catherine M. Cole,2015,https://link.springer.com/chapter/10.1057/9781137362308_8,Chapter
Decolonising Indigenous Victimisation,"Crime, Victims and Policy",,,,10.1057/9781137383938_2,Chris CunneenSimone Rowe,2015,https://link.springer.com/chapter/10.1057/9781137383938_2,Chapter
The European Union and the Third Pillar,The Responsibility to Protect and the Third Pillar,,,,10.1057/9781137364401_10,David Curran,2015,https://link.springer.com/chapter/10.1057/9781137364401_10,Chapter
Handling Live Data with D3,Create Web Charts with D3,,,,10.1007/978-1-4842-0865-6_9,Fabio Nelli,2014,https://link.springer.com/chapter/10.1007/978-1-4842-0865-6_9,Chapter
Improving Your Blog with User Comments and Search,PHP for Absolute Beginners,,,,10.1007/978-1-4302-6814-7_10,Thomas Blom HansenJason Lengstorf,2014,https://link.springer.com/chapter/10.1007/978-1-4302-6814-7_10,Chapter
Working with Databases,PHP for Absolute Beginners,,,,10.1007/978-1-4302-6814-7_6,Thomas Blom HansenJason Lengstorf,2014,https://link.springer.com/chapter/10.1007/978-1-4302-6814-7_6,Chapter
Post-Election Cross-Strait Relations: High Hopes and Low Expectations,Cross-Taiwan Strait Relations in an Era of Technological Change,,,,10.1057/9781137391421_2,Steven M. Goldstein,2015,https://link.springer.com/chapter/10.1057/9781137391421_2,Chapter
Women in Cities: Prosperity or Poverty? A Need for Multi-dimensional and Multi-spatial Analysis,The City in Urban Poverty,,,,10.1057/9781137367433_3,Sylvia ChantKerwin Datu,2015,https://link.springer.com/chapter/10.1057/9781137367433_3,Chapter
Promoting Book Culture – Measures and Efficiency,European Book Cultures,,,,10.1007/978-3-658-08060-0_4,Stephanie Kurschus,2015,https://link.springer.com/chapter/10.1007/978-3-658-08060-0_4,Chapter
"Parallel Lives and Tragic Heroisms: Ottoman, Turkish and Australasian Myths about the Dardanelles Campaigns",Reconciling Cultural and Political Identities in a Globalized World,,,,10.1007/978-1-137-49315-6_2,Adrian Jones,2015,https://link.springer.com/chapter/10.1007/978-1-137-49315-6_2,Chapter
Netherlands,Women Screenwriters,,,,10.1057/9781137312372_34,Thomas van den BergErik BuikemaGert Jan HarkemaAnnelies van NoortwijkJennifer O’ConnellRianne PrasVincent RosJohanna SeelbachSteven WillemsenJaukje van Wonderen,2015,https://link.springer.com/chapter/10.1057/9781137312372_34,Chapter
PExy: The Other Side of Exploit Kits,"Detection of Intrusions and Malware, and Vulnerability Assessment",,,,10.1007/978-3-319-08509-8_8,Giancarlo De MaioAlexandros KapravelosYan ShoshitaishviliChristopher KruegelGiovanni Vigna,2014,https://link.springer.com/chapter/10.1007/978-3-319-08509-8_8,Conference paper
Physiology of the Developing Kidney: Disorders and Therapy of Calcium and Phosphorous Homeostasis,Pediatric Nephrology,,,,10.1007/978-3-642-27843-3_10-1,Amita SharmaRajesh V. ThakkerHarald Jüppner,2014,https://link.springer.com/rwe/10.1007/978-3-642-27843-3_10-1,Living reference work entry
Genetic Literacy,New Frontiers in Technological Literacy,,,,10.1057/9781137394750_12,Silja Samerski,2014,https://link.springer.com/chapter/10.1057/9781137394750_12,Chapter
"Quality of Life and Wellbeing in North Africa – Algeria, Egypt, Libya, Morocco and Tunisia",Global Handbook of Quality of Life,,,,10.1007/978-94-017-9178-6_22,Habib Tiliouine,2015,https://link.springer.com/chapter/10.1007/978-94-017-9178-6_22,Chapter
Biographies,The Palgrave Encyclopedia of Imperialism and Anti-Imperialism,,,,10.1057/9780230392786_1,Immanuel NessZak Cope,2016,https://link.springer.com/chapter/10.1057/9780230392786_1,Chapter
Socio-Cultural Environment,Islamic Marketing,,,,10.1007/978-3-319-32754-9_3,Čedomir Nestorović,2016,https://link.springer.com/chapter/10.1007/978-3-319-32754-9_3,Chapter
Who Generates Policy?,Soviet Foreign Policy Towards East Germany,,,,10.1007/978-3-319-20001-9_5,Achilleas Megas,2015,https://link.springer.com/chapter/10.1007/978-3-319-20001-9_5,Chapter
The German Policy Support Mechanism for Photovoltaics: The Road to Grid Parity,The Political Economy of Renewable Energy and Energy Security,,,,10.1057/9781137338877_13,Karolina Jankowska,2014,https://link.springer.com/chapter/10.1057/9781137338877_13,Chapter
The Age of Confidentiality: A Review of the Security in Social Networks and Internet,"Distributed Computing and Artificial Intelligence, 11th International Conference",,,,10.1007/978-3-319-07593-8_47,Antonio Juan SánchezYves Demazeau,2014,https://link.springer.com/chapter/10.1007/978-3-319-07593-8_47,Conference paper
‘Just Put Down the Pepsi …’: London 2012 and the Corporations,The London Olympics of 2012,,,,10.1057/9781137326348_6,Stephen Wagg,2015,https://link.springer.com/chapter/10.1057/9781137326348_6,Chapter
Oxide Skin Strength Measurements on Molten Aluminum — Manganese Alloys with and Without Salt on Surface,Light Metals 2014,,,,10.1007/978-3-319-48144-9_153,Martin Syvertsen,2014,https://link.springer.com/chapter/10.1007/978-3-319-48144-9_153,Chapter
The North Korean Military in the Kim Jong-un Era,North Korea and Regional Security in the Kim Jong-un Era: A New International Security Dilemma,,,,10.1057/9781137400079_2,Bruce E. Bechtol,2014,https://link.springer.com/chapter/10.1057/9781137400079_2,Chapter
A Concept of ›Book Culture‹,European Book Cultures,,,,10.1007/978-3-658-08060-0_2,Stephanie Kurschus,2015,https://link.springer.com/chapter/10.1007/978-3-658-08060-0_2,Chapter
The Stoics on the Kinds of Madness,Mental Disorders in Ancient Philosophy,,,,10.1007/978-3-319-03431-7_5,Marke Ahonen,2014,https://link.springer.com/chapter/10.1007/978-3-319-03431-7_5,Chapter
The Syrian-Kurdish Movements: Obstacles Rather Than Driving Forces for Democratization,"Conflict, Democratization, and the Kurds in the Middle East",,,,10.1057/9781137409997_5,Eva Savelsberg,2014,https://link.springer.com/chapter/10.1057/9781137409997_5,Chapter
Italy,Women Screenwriters,,,,10.1057/9781137312372_32,Mariapia ComandAlexis Krasilovsky Bernadette LucianoPaolo RussoJule SelboBridget Tompkins,2015,https://link.springer.com/chapter/10.1057/9781137312372_32,Chapter
South Sudan and the Nation-Building Project: Lessons and Challenges,National Democratic Reforms in Africa,,,,10.1057/9781137518828_4,Christopher Zambakari,2015,https://link.springer.com/chapter/10.1057/9781137518828_4,Chapter
Creating Core Extensions,Advanced Joomla!,,,,10.1007/978-1-4302-1629-2_12,Dan Rahmel,2013,https://link.springer.com/chapter/10.1007/978-1-4302-1629-2_12,Chapter
The International Millennium Youth Camp as an Active Learning Ecosystem for Future Scientists,Finnish Innovations and Technologies in Schools,,,,10.1007/978-94-6209-749-0_12,Sakari TolppanenMaija Aksela,2014,https://link.springer.com/chapter/10.1007/978-94-6209-749-0_12,Chapter
Object Basics,"PHP Objects, Patterns, and Practice",,,,10.1007/978-1-4302-6032-5_3,Matt Zandstra,2013,https://link.springer.com/chapter/10.1007/978-1-4302-6032-5_3,Chapter
Flooded: A Location-Based Game for Promoting Citizens’ Preparedness to Flooding Situations,Games and Learning Alliance,,,,10.1007/978-3-319-12157-4_8,Sondre Johan MannsverkInes Di LoretoMonica Divitini,2014,https://link.springer.com/chapter/10.1007/978-3-319-12157-4_8,Conference paper
Pedal to the Metal: Accelerating Python,Python Algorithms,,,,10.1007/978-1-4842-0055-1_12,Magnus Lie Hetland,2014,https://link.springer.com/chapter/10.1007/978-1-4842-0055-1_12,Chapter
Informatics and General Education,Informatics in Schools. Teaching and Learning Perspectives,,,,10.1007/978-3-319-09958-3_1,Walter Gander,2014,https://link.springer.com/chapter/10.1007/978-3-319-09958-3_1,Conference paper
Staging Philosophy: Toward a Performance of Immanent Expression,Encounters in Performance Philosophy,,,,10.1057/9781137462725_9,Arno Böhler,2014,https://link.springer.com/chapter/10.1057/9781137462725_9,Chapter
Financial Services for Poverty Alleviation,Inspired Finance,,,,10.1057/9781137450784_3,Michael Looft,2014,https://link.springer.com/chapter/10.1057/9781137450784_3,Chapter
Introduction,Industrial Policy in Europe after 1945,,,,10.1057/9781137329905_1,Christian GrabasAlexander Nützenadel,2014,https://link.springer.com/chapter/10.1057/9781137329905_1,Chapter
The Role of Democratic State in Inter-Religious Relations: Theoretical and Historical Considerations in Respect of Countries in Transition,The Role of Religion in Eastern Europe Today,,,,10.1007/978-3-658-02441-3_3,Sabine Riedel,2015,https://link.springer.com/chapter/10.1007/978-3-658-02441-3_3,Chapter
"European Book Culture – Framework, Indicators and a Typology",European Book Cultures,,,,10.1007/978-3-658-08060-0_3,Stephanie Kurschus,2015,https://link.springer.com/chapter/10.1007/978-3-658-08060-0_3,Chapter
Upgrading Cassandra and Troubleshooting,Beginning Apache Cassandra Development,,,,10.1007/978-1-4842-0142-8_11,Vivek Mishra,2014,https://link.springer.com/chapter/10.1007/978-1-4842-0142-8_11,Chapter
"Security, Forms, and Error Handling",Expert PHP and MySQL,,,,10.1007/978-1-4302-6008-0_6,Marc Rochkind,2013,https://link.springer.com/chapter/10.1007/978-1-4302-6008-0_6,Chapter
The Evolution of the Web Browser: The Global Village Outgrown,Interfacing with the Internet in Popular Cinema,,,,10.1057/9781137386694_3,Aaron Tucker,2014,https://link.springer.com/chapter/10.1057/9781137386694_3,Chapter
Civic Education as Profession: Current Developments in German (Higher) Educational System and Qualification Opportunities for Teachers and Trainers,"Citizenship, Democracy and Higher Education in Europe, Canada and the USA",,,,10.1057/9781137287489_10,Dirk LangeSven Rößler,2014,https://link.springer.com/chapter/10.1057/9781137287489_10,Chapter
Exception Handling,PHP Quick Scripting Reference,,,,10.1007/978-1-4302-6284-8_30,Mikael Olsson,2013,https://link.springer.com/chapter/10.1007/978-1-4302-6284-8_30,Chapter
Identity and Ecumenical Partnership of Churches of African Origin in Germany,"Churches, Blackness, and Contested Multiculturalism",,,,10.1057/9781137386380_10,Benjamin Simon,2014,https://link.springer.com/chapter/10.1057/9781137386380_10,Chapter
"If Leaders Like Alexander Von Humboldt, Ronald Reagan, and Xi Jinping Would Have Been Environmental Justice Radicals Using Public Internet and Drones: A Short Political Ecology of Central America with Regard to Global Agenda Setting in 2014",Central American Biodiversity,,,,10.1007/978-1-4939-2208-6_2,Falk Huettmann,2015,https://link.springer.com/chapter/10.1007/978-1-4939-2208-6_2,Chapter
"E-Commerce: Regulatory, Ethical, and Social Environments",Electronic Commerce,,,,10.1007/978-3-319-10091-3_15,Efraim TurbanDavid KingJae Kyu LeeTing-Peng LiangDeborrah C. Turban,2015,https://link.springer.com/chapter/10.1007/978-3-319-10091-3_15,Chapter
Preserving Privacy in Production,Privacy and Identity Management for Emerging Services and Technologies,,,,10.1007/978-3-642-55137-6_14,Moritz Christian Müller,2014,https://link.springer.com/chapter/10.1007/978-3-642-55137-6_14,Conference paper
Russian Orthodoxy between State and Nation,Eastern Orthodox Encounters of Identity and Otherness,,,,10.1057/9781137377388_2,Jennifer Wasmuth,2014,https://link.springer.com/chapter/10.1057/9781137377388_2,Chapter
Create Web Pages That Interact with Users,Practical PHP and MySQL Web Site Databases,,,,10.1007/978-1-4302-6077-6_2,Adrian W. West,2013,https://link.springer.com/chapter/10.1007/978-1-4302-6077-6_2,Chapter
Can Developers Learn from Art? Janet Cardiff’s ‘The Missing Voice’ in Spitalfields,From Literature to Cultural Literacy,,,,10.1057/9781137429704_5,Ricarda Vidal,2014,https://link.springer.com/chapter/10.1057/9781137429704_5,Chapter
The Finishing Touches,Practical PHP and MySQL Web Site Databases,,,,10.1007/978-1-4302-6077-6_6,Adrian W. West,2013,https://link.springer.com/chapter/10.1007/978-1-4302-6077-6_6,Chapter
Automating Administrative Tasks,Enterprise Mac Administrator’s Guide,,,,10.1007/978-1-4842-1706-1_8,Charles S. EdgeWilliam Smith,2015,https://link.springer.com/chapter/10.1007/978-1-4842-1706-1_8,Chapter
The Lived Space of Recollection: How Holocaust Memorials Are Conceived Differently Today,Mass Dictatorship and Memory as Ever Present Past,,,,10.1057/9781137289834_11,Jörg H. Gleiter,2014,https://link.springer.com/chapter/10.1057/9781137289834_11,Chapter
A History of Transnational Trafficking in Stolen and Looted Art and Antiquities,Histories of Transnational Crime,,,,10.1007/978-1-4939-2471-4_6,Noah Charney,2015,https://link.springer.com/chapter/10.1007/978-1-4939-2471-4_6,Chapter
What Rankings Measure,Rankings and the Reshaping of Higher Education,,,,10.1057/9781137446671_2,Ellen Hazelkorn,2015,https://link.springer.com/chapter/10.1057/9781137446671_2,Chapter
"Abortion, Christianity, Disability: Western Europe, 1960s–1970s",Sexual Revolutions,,,,10.1057/9781137321466_15,Dagmar Herzog,2014,https://link.springer.com/chapter/10.1057/9781137321466_15,Chapter
When Money Follows the Corpse: Remittances of Deceased Migrants in South Asia,Migrant Remittances in South Asia,,,,10.1057/9781137350800_10,A K M Ahsan UllahMallik Akram Hossain,2014,https://link.springer.com/chapter/10.1057/9781137350800_10,Chapter
Interface Design Strategies and Disruptions of Gameplay: Notes from a Qualitative Study with First-Person Gamers,Human-Computer Interaction. Applications and Services,,,,10.1007/978-3-319-07227-2_56,Suely Fragoso,2014,https://link.springer.com/chapter/10.1007/978-3-319-07227-2_56,Conference paper
Creating a Product Catalog,Practical PHP and MySQL Web Site Databases,,,,10.1007/978-1-4302-6077-6_8,Adrian W. West,2013,https://link.springer.com/chapter/10.1007/978-1-4302-6077-6_8,Chapter
A Multicultural Theology of Difference: A Practical Theological Perspective,"Churches, Blackness, and Contested Multiculturalism",,,,10.1057/9781137386380_13,Gordon E. Dames,2014,https://link.springer.com/chapter/10.1057/9781137386380_13,Chapter
The End of Isolation,The Challenge of Working for Americans,,,,10.1057/9781137360281_1,Bond Benton,2014,https://link.springer.com/chapter/10.1057/9781137360281_1,Chapter
"Fools, Tricksters and Jokers: Categorization of Humor in Gameplay",Intelligent Technologies for Interactive Entertainment,,,,10.1007/978-3-319-08189-2_10,Claire Dormann,2014,https://link.springer.com/chapter/10.1007/978-3-319-08189-2_10,Conference paper
Introduction,From Literature to Cultural Literacy,,,,10.1057/9781137429704_1,Naomi Segal,2014,https://link.springer.com/chapter/10.1057/9781137429704_1,Chapter
Albatrosses and Western Attitudes to Killing Wild Birds,Captured: The Animal Within Culture,,,,10.1057/9781137330505_7,Graham Barwell,2014,https://link.springer.com/chapter/10.1057/9781137330505_7,Chapter
An Apology for Public Apologies?,On the Uses and Abuses of Political Apologies,,,,10.1057/9781137343727_11,Juan Espindola,2014,https://link.springer.com/chapter/10.1057/9781137343727_11,Chapter
Cooperation or Conflict? Education Politics in Switzerland after the PISA Study and the Bologna Process,Internationalization of Education Policy,,,,10.1057/9781137401694_8,Tonia Bieber,2014,https://link.springer.com/chapter/10.1057/9781137401694_8,Chapter
Translation and Equivalence,Translation: A Multidisciplinary Approach,,,,10.1057/9781137025487_2,Monika Krein-Kühle,2014,https://link.springer.com/chapter/10.1057/9781137025487_2,Chapter
"Black Churches, Moral Panic, and the Empowerment of Black Youth in the Era of Hip-Hop","Churches, Blackness, and Contested Multiculturalism",,,,10.1057/9781137386380_18,Michael Brandon McCormack,2014,https://link.springer.com/chapter/10.1057/9781137386380_18,Chapter
Towards an End-User Development Tool for Mobile ERP Applications,Novel Methods and Technologies for Enterprise Information Systems,,,,10.1007/978-3-319-07055-1_16,Marcus HomannVassilena BanovaHolger WittgesHelmut Krcmar,2014,https://link.springer.com/chapter/10.1007/978-3-319-07055-1_16,Conference paper
Deception Detection Within and Across Cultures,Text Mining,,,,10.1007/978-3-319-12655-5_8,Veronica Perez-RosasCristian BologaMihai BurzoRada Mihalcea,2014,https://link.springer.com/chapter/10.1007/978-3-319-12655-5_8,Chapter
What Web Analysts Can Do for Human-Computer Interaction?,HCI in Business,,,,10.1007/978-3-319-07293-7_46,Claudia BrauerDavid ReischerFelix Mödritscher,2014,https://link.springer.com/chapter/10.1007/978-3-319-07293-7_46,Conference paper
Participatory Research in Social Work,Promoting Change through Action Research,,,,10.1007/978-94-6209-803-9_13,Maria AnastasiadisArno HeimgartnerHelga Kittl-SatranMichael Wrentschur,2014,https://link.springer.com/chapter/10.1007/978-94-6209-803-9_13,Chapter
After the Big Bang — German Education Policy in the Wake of the PISA Study and the Bologna Process,Internationalization of Education Policy,,,,10.1057/9781137401694_4,Dennis Niemann,2014,https://link.springer.com/chapter/10.1057/9781137401694_4,Chapter
Of High Hopes and High Deficit: An Overview of Europe’s HDTV Policy and Reflections: Towards the Future of HDTV,The Palgrave Handbook of European Media Policy,,,,10.1057/9781137032195_19,Nils WalravensCaroline Pauwels,2014,https://link.springer.com/chapter/10.1057/9781137032195_19,Chapter
Why Application Lifecycle Management Matters,Beginning Application Lifecycle Management,,,,10.1007/978-1-4302-5813-1_1,Joachim Rossberg,2014,https://link.springer.com/chapter/10.1007/978-1-4302-5813-1_1,Chapter
Tectonic Setting of Aleutian Volcanism,InSAR Imaging of Aleutian Volcanoes,,,,10.1007/978-3-642-00348-6_4,Zhong LuDaniel Dzurisin,2014,https://link.springer.com/chapter/10.1007/978-3-642-00348-6_4,Chapter
Improving Node-Level MapReduce Performance Using Processing-in-Memory Technologies,Euro-Par 2014: Parallel Processing Workshops,,,,10.1007/978-3-319-14313-2_36,Mahzabeen IslamMarko ScrbakKrishna M. KaviMike IgnatowskiNuwan Jayasena,2014,https://link.springer.com/chapter/10.1007/978-3-319-14313-2_36,Conference paper
Expansion of Litigation PR in London After 1992,Litigation Communication,,,,10.1007/978-3-319-01872-0_6,Thomas Beke,2014,https://link.springer.com/chapter/10.1007/978-3-319-01872-0_6,Chapter
The Interaction of Public and Private Antitrust Enforcement – The Calculation of Fines and Damages,Public and Private Enforcement of Competition Law in Europe,,,,10.1007/978-3-662-43975-3_5,Kai HüschelrathHeike Schweitzer,2014,https://link.springer.com/chapter/10.1007/978-3-662-43975-3_5,Chapter
Political Economy,The Palgrave Encyclopedia of Imperialism and Anti-Imperialism,,,,10.1057/9780230392786_6,Immanuel NessZak Cope,2016,https://link.springer.com/chapter/10.1057/9780230392786_6,Chapter
"Simple, Fast and Accurate Taxonomy Learning",Text Mining,,,,10.1007/978-3-319-12655-5_3,Zornitsa Kozareva,2014,https://link.springer.com/chapter/10.1007/978-3-319-12655-5_3,Chapter
The Political Economy of Human Security in South Asia,South Asia in Transition,,,,10.1057/9781137356642_10,Shibashis Chatterjee,2014,https://link.springer.com/chapter/10.1057/9781137356642_10,Chapter
The Return of Political Theology,The Rule of Law and the Rule of God,,,,10.1057/9781137447760_2,Mark Lilla,2014,https://link.springer.com/chapter/10.1057/9781137447760_2,Chapter
The Danger for Humanism: Winning the Battles and Losing the War against Theism in Public Policy,Theism and Public Policy,,,,10.1057/9781137465306_7,Barbara Forrest,2014,https://link.springer.com/chapter/10.1057/9781137465306_7,Chapter
Citizen Journalists or Cyber Bigots?,Thatcher’s Grandchildren?,,,,10.1057/9781137281555_2,Bob Franklin,2014,https://link.springer.com/chapter/10.1057/9781137281555_2,Chapter
The Reluctant Hero,Heroism and Gender in War Films,,,,10.1057/9781137360724_3,Janis L. Goldie,2014,https://link.springer.com/chapter/10.1057/9781137360724_3,Chapter
Encountering Saracens in Italian Chivalric Epic and Folk Performance Traditions,Teaching Medieval and Early Modern Cross-Cultural Encounters,,,,10.1057/9781137465726_10,Jo Ann Cavallo,2014,https://link.springer.com/chapter/10.1057/9781137465726_10,Chapter
European State-Aid Control and PSB: Competition Policy Clashing or Matching with Public Interest Objectives?,The Palgrave Handbook of European Media Policy,,,,10.1057/9781137032195_23,Karen DondersHallvard Moe,2014,https://link.springer.com/chapter/10.1057/9781137032195_23,Chapter
The Grants Register,The Grants Register 2017,,,,10.1007/978-1-349-70229-9_1,Ruth Lefevre,2016,https://link.springer.com/rwe/10.1007/978-1-349-70229-9_1,Reference work entry
Stray Dogs and Social Work in Mauritius: An Analysis of Some Concerns and Challenges,Animals in Social Work,,,,10.1057/9781137372291_12,Komalsingh Rambaree,2014,https://link.springer.com/chapter/10.1057/9781137372291_12,Chapter
Development Cooperation in New EU Member States: The Role of Non-Governmental Organizations,Private Development Aid in Europe,,,,10.1057/9781137009777_8,Maja BučarEva NastavAnija Mešič,2014,https://link.springer.com/chapter/10.1057/9781137009777_8,Chapter
My Sassy Girl Goes around the World,The Korean Wave,,,,10.1057/9781137350282_5,Jennifer Jung-Kim,2014,https://link.springer.com/chapter/10.1057/9781137350282_5,Chapter
The European Directive to Consume,Payday Lending: Global Growth of the High-Cost Credit Market,,,,10.1057/9781137361103_4,Carl Packman,2014,https://link.springer.com/chapter/10.1057/9781137361103_4,Chapter
Redefining Stand-off Warfare: Modern Efforts and Implications,Heroism and the Changing Character of War,,,,10.1057/9781137362537_13,Antulio J. Echevarria,2014,https://link.springer.com/chapter/10.1057/9781137362537_13,Chapter
Forest Management and Biodiversity in Size-Structured Forests Under Climate Change,Dynamic Optimization in Environmental Economics,,,,10.1007/978-3-642-54086-8_12,Renan GoetzCarme CañizaresJoan PujolAngels Xabadia,2014,https://link.springer.com/chapter/10.1007/978-3-642-54086-8_12,Chapter
